A,B , Total 
769914237485449216,Manchester City v WestHam Live Stream: https://t.co/KwS7sOWZFP      #football #voetball #goals  #PremierLeague #cityvwhu

12001,Sun Aug 28 21:07:13 BDT 2016
769914239591059456,@WestHamUtd red card for cutting nobles ass surely!,Sun Aug 28 21:07:13 BDT 2016
769914239939207168,GOAL! Sterling gives City the lead!

#MCIWHU,Sun Aug 28 21:07:13 BDT 2016
769914239716880384,@WestHamUtd sound bloody painful to me but over the top by man city lol,Sun Aug 28 21:07:13 BDT 2016
769914239741984769,This is gonna be a long arsed game!!!!! #WHUFC,Sun Aug 28 21:07:13 BDT 2016
769914240358453248,BBC SPORT - Man City Women go 13 points clear: Jennifer Beattie and Steph Houghton score... https://t.co/j1AsbU2byi #PaginaNuova #Sports,Sun Aug 28 21:07:13 BDT 2016
769914240530538496,RT @TSBible: Come on lads someone give us a goal! #MCIWHU,Sun Aug 28 21:07:13 BDT 2016
769914240723542016,Well? https://t.co/9ACSAyghrG,Sun Aug 28 21:07:13 BDT 2016
769914241230831620,BBC SPORT - Boro unbeaten in league after goalless draw at West Brom: Middlesbrough main... https://t.co/GTJeXLKtxm #PaginaNuova #Sports,Sun Aug 28 21:07:14 BDT 2016
769914242757758976,GOAL!

Pep?s men take the lead! Sterling!

#MCFC 1-0 #WHUFC

LIVE: https://t.co/n8eDzanOss #MCIWHU,Sun Aug 28 21:07:14 BDT 2016
769914243814744065,Yeh city are on this today #MCIWHU,Sun Aug 28 21:07:14 BDT 2016
769914244552876032,#WHUFC setting themselves up for a proper whipping here. City all over them...,Sun Aug 28 21:07:14 BDT 2016
769914243864985601,GOAL! Sterling opens the scoring #MCFC https://t.co/PF7ex0qxW4,Sun Aug 28 21:07:14 BDT 2016
769914246129971200,Why is Sterling carrying plotted land in his head? #Curious #MCIWHU,Sun Aug 28 21:07:15 BDT 2016
769914247035949057,Such a joy to watch #MCFC under Pep.,Sun Aug 28 21:07:15 BDT 2016
769914248541704192,RT @EXAGolo: Want to learn how to be an @EXASOLAG expert? Check out the new #training course dates at https://t.co/OnO8MOi9Fx #bigdata #ana?,Sun Aug 28 21:07:15 BDT 2016
769914246784221185,#WHUFC #COYI   West Ham at Man City https://t.co/fkQzdgoJil,Sun Aug 28 21:07:15 BDT 2016
769914248667369477,RT @ManCity: 6. City on the front foot here! Great start from the Blues who are taking it to the Hammers at the moment! #cityvwhu https://t?,Sun Aug 28 21:07:15 BDT 2016
769914249204424705,Lovely goal #mcfc,Sun Aug 28 21:07:15 BDT 2016
769914250315853828,Sterling goool #MCIWHU,Sun Aug 28 21:07:16 BDT 2016
769914250596868096,LIVE #foot #Ang #MCIWHU Manchester City 1 - 0 West Ham United https://t.co/VISuOWOVlG,Sun Aug 28 21:07:16 BDT 2016
769914253004443649,RT @ADP1113: @chiarabiasi take good care of our Simo. Forza @SimoneZaza. A top player & person. Fino alla fine campione. https://t.co/TsP8w?,Sun Aug 28 21:07:16 BDT 2016
769914255231639553,RT @ManCity: 6. City on the front foot here! Great start from the Blues who are taking it to the Hammers at the moment! #cityvwhu https://t?,Sun Aug 28 21:07:17 BDT 2016
769914257072877568,Raheem Sterling looks like a pre-teen girl, pass it on #FuckOffCity #MCIWHU,Sun Aug 28 21:07:17 BDT 2016
769914258901635072,This is gonna be an absolute drubbing aint it? #mcfc #whufc #SuperSunday,Sun Aug 28 21:07:18 BDT 2016
769914259492921344,1-0! Raheem Sterling! What a play. #MCFC,Sun Aug 28 21:07:18 BDT 2016
769914260377837569,BASEBALL Standings: Little League World Series (28 Aug 16) #PAsports #Standings #Sports #LLWS #LLWS2016 #Baseball https://t.co/WNdLkb2Hhi,Sun Aug 28 21:07:18 BDT 2016
769914260428382208,RT @NFLonFOX: That #GameDay feeling...

Football is BACK on @FOXTV. Catch #SDvsMIN at 1p ET and #AZvsHOU at 4p ET. 

#LetsDoThis! https://t?,Sun Aug 28 21:07:18 BDT 2016
769914259782397952,Class goal that mind #MCFC,Sun Aug 28 21:07:18 BDT 2016
769914262118658048,@PaulKershaw79 @premierleague theres one for yah!,Sun Aug 28 21:07:19 BDT 2016
769914262181580800,GOAL! Sterling finishes off a fine move to put Man City ahead. 1-0. #MCIWHU,Sun Aug 28 21:07:19 BDT 2016
769914263041286145,RT @alamkhan08: Still feel nasri has much to offer esp if silva injuries crop up. No mangala on bench n cant undrstand why @Arsenal not mad?,Sun Aug 28 21:07:19 BDT 2016
769914262626136069,crying?????? https://t.co/8zlqOHdkpY,Sun Aug 28 21:07:19 BDT 2016
769914263242768384,GOAL: Man City 1-0 West Ham - Sterling 

Amazing team move from #MCFC,Sun Aug 28 21:07:19 BDT 2016
769914263456579585,GOAL: Man City 1-0 West Ham - Sterling 

Amazing team move from #MCFC,Sun Aug 28 21:07:19 BDT 2016
769914264320552961,Boro unbeaten in league after goalless draw at West Brom https://t.co/klTICcS0xx #soccer,Sun Aug 28 21:07:19 BDT 2016
769914264798756865,RT @SparkleWeekend: Tomorrow live from @ManchesterPride stage in Sackville Gardens #ManchesterPride #sparkleweekend https://t.co/Q51DcQSPow,Sun Aug 28 21:07:19 BDT 2016
769914264840577024,#Sports:
#Wi vs Eng:
#2nd_T20:
Wi 49/1/5 Over,
Charls 42*
Lawis 7 Out,
Samules 0*,Sun Aug 28 21:07:19 BDT 2016
769914265167724544,RT @WhoScored: LIVE: Manchester City vs West Ham - Man City have won just 1 of their last 4 games against West Ham https://t.co/qJAAKPMMHS?,Sun Aug 28 21:07:19 BDT 2016
769914265142689792,GOOOOOOOOOOOOL DO CITY

? STERLING
? 07 min do 1° Tempo  

? Manchester City 1x0 West Ham

#PremierLeague #ManchesterCity #WestHam,Sun Aug 28 21:07:19 BDT 2016
769914266119962624,Manchester City v WestHam Live Stream: https://t.co/E73MYLoBlz      #football #voetball #goals  #PremierLeague #cityvwhu

30912,Sun Aug 28 21:07:20 BDT 2016
769914268355616769,RT @RMHCUK: A huge thanks to @AEWarchitects for all their hard work on the amazing carnival props! For #ManchesterPride,Sun Aug 28 21:07:20 BDT 2016
769914268443607041,What a goal!! #MCIWHU,Sun Aug 28 21:07:20 BDT 2016
769914268762374144,As I type that... https://t.co/XKmNWH2t4T,Sun Aug 28 21:07:20 BDT 2016
769914269718679552,RT @ManCity: #onthisday in 2011, @EdDzeko bagged 4?? in a 5-1 win at @SpursOfficial. What a day that was! #mcfc https://t.co/DJPWODA8D4,Sun Aug 28 21:07:20 BDT 2016
769914270071029764,RT @ManCity: 6. City on the front foot here! Great start from the Blues who are taking it to the Hammers at the moment! #cityvwhu https://t?,Sun Aug 28 21:07:20 BDT 2016
769914270394019841,WE HAVE LIFT OFF. Sterling puts #MCFC 1-0 up.,Sun Aug 28 21:07:21 BDT 2016
769914272713433088,Luv u @ManCity @sterling7,Sun Aug 28 21:07:21 BDT 2016
769914273539776513,Thanks @sterling7  https://t.co/GpFFrmFVyz,Sun Aug 28 21:07:21 BDT 2016
769914274986819585,That was beautiful. Carved them open #mcfc,Sun Aug 28 21:07:22 BDT 2016
769914275108446210,RT @EXAGolo: Want to learn how to be an @EXASOLAG expert? Check out the new #training course dates at https://t.co/OnO8MOi9Fx #bigdata #ana?,Sun Aug 28 21:07:22 BDT 2016
769914275586605057,Sterling scores! Man City 1-0 West Ham #mcfc #whufc,Sun Aug 28 21:07:22 BDT 2016
769914275947315200,Ouch https://t.co/pQoNB6G4J9,Sun Aug 28 21:07:22 BDT 2016
769914277293617152,That was beautiful. #MCFC,Sun Aug 28 21:07:22 BDT 2016
769914278258348032,RT @ManCity: 6. City on the front foot here! Great start from the Blues who are taking it to the Hammers at the moment! #cityvwhu https://t?,Sun Aug 28 21:07:22 BDT 2016
769914279445274624,Attempt missed. David Silva (Manchester City) left footed shot from outside the box misses to th... https://t.co/3n1ZC09dOm #cityvWHU,Sun Aug 28 21:07:23 BDT 2016
769914280804089856,RT @RobHines6_1: Come on @ManCity https://t.co/0bHlnd3IU7,Sun Aug 28 21:07:23 BDT 2016
769914280846233600,Attempt missed. David Silva (Manchester City) left footed shot from outside the box misses to th... https://t.co/43pkeTO2ve #cityvWHU,Sun Aug 28 21:07:23 BDT 2016
769914281899032576,Very bad start! Hold onto the ball mate! #MCIWHU,Sun Aug 28 21:07:23 BDT 2016
769914282549080064,Lovely goal #MCFC,Sun Aug 28 21:07:23 BDT 2016
769914282876239872,Enner Valencia (West Ham United) wins a free kick in the defensive half. https://t.co/3n1ZC09dOm #cityvWHU,Sun Aug 28 21:07:24 BDT 2016
769914283077541888,GOAL: Man City 1-0 West Ham - Sterling 7 #MCIWHU,Sun Aug 28 21:07:24 BDT 2016
769914283677351936,RT @ManCity: 6. City on the front foot here! Great start from the Blues who are taking it to the Hammers at the moment! #cityvwhu https://t?,Sun Aug 28 21:07:24 BDT 2016
769914283853541376,GOAL: City take the lead through Raheem Sterling. #MCIWHU,Sun Aug 28 21:07:24 BDT 2016
769914284134522880,Enner Valencia (West Ham United) wins a free kick in the defensive half. https://t.co/43pkeTO2ve #cityvWHU,Sun Aug 28 21:07:24 BDT 2016
769914286185517056,Foul by Fernandinho (Manchester City). https://t.co/3n1ZC09dOm #cityvWHU,Sun Aug 28 21:07:24 BDT 2016
769914285447405568,RT @csusports: #GameDay for @Jordanhj07 and CSU Soccer as the Bucs host North Florida this afternoon on the #BigSouthNetwork https://t.co/S?,Sun Aug 28 21:07:24 BDT 2016
769914287427026944,Foul by Fernandinho (Manchester City). https://t.co/43pkeTO2ve #cityvWHU,Sun Aug 28 21:07:25 BDT 2016
769914287603286016,Watching Man City vs West Ham #MCIWHU #PL,Sun Aug 28 21:07:25 BDT 2016
769914288786051072,RT @ManCityMEN: GOAL! Sterling opens the scoring #MCFC https://t.co/PF7ex0qxW4,Sun Aug 28 21:07:25 BDT 2016
769914289348018176,GOAL! Raheem Sterling. 1:0 @mancity.,Sun Aug 28 21:07:25 BDT 2016
769914289297747968,Manchester City v WestHam Live Stream: https://t.co/9IjTQnv9a0      #MCIWHU #PL #cfc #cityvwhu #WHUFC #sports #gameday #BPL

10555,Sun Aug 28 21:07:25 BDT 2016
769914289440362496,Fernandinho (Manchester City) is shown the yellow card for a bad foul. https://t.co/3n1ZC09dOm #cityvWHU,Sun Aug 28 21:07:25 BDT 2016
769914290493087744,RT @WestHamUtd: Here?s one final check on today?s teams... ? #MCYWHU https://t.co/wPSZShpwaQ,Sun Aug 28 21:07:25 BDT 2016
769914290711228416,Fernandinho (Manchester City) is shown the yellow card for a bad foul. https://t.co/43pkeTO2ve #cityvWHU,Sun Aug 28 21:07:25 BDT 2016
769914290891620352,Keep this up lads @ManCity,Sun Aug 28 21:07:25 BDT 2016
769914291055099904,RT @ManCity: 6. City on the front foot here! Great start from the Blues who are taking it to the Hammers at the moment! #cityvwhu https://t?,Sun Aug 28 21:07:25 BDT 2016
769914291604652032,what a great goal by @ManCity,Sun Aug 28 21:07:26 BDT 2016
769914291784851464,What a goal!!! #CTID,Sun Aug 28 21:07:26 BDT 2016
769914290153328645,RT @NFLonFOX: That #GameDay feeling...

Football is BACK on @FOXTV. Catch #SDvsMIN at 1p ET and #AZvsHOU at 4p ET. 

#LetsDoThis! https://t?,Sun Aug 28 21:07:25 BDT 2016
