From , To , Total 
28 21:00:43 , 28 21:01:12 ,127
28 21:01:13 , 28 21:01:42 ,127
28 21:01:43 , 28 21:02:12 ,137
28 21:02:13 , 28 21:02:42 ,101
28 21:02:43 , 28 21:03:12 ,95
28 21:03:13 , 28 21:03:42 ,155
28 21:03:43 , 28 21:04:12 ,77
28 21:04:13 , 28 21:04:42 ,84
28 21:04:43 , 28 21:05:12 ,93
28 21:05:13 , 28 21:05:42 ,93
28 21:05:43 , 28 21:06:12 ,98
28 21:06:13 , 28 21:06:42 ,114
28 21:06:43 , 28 21:07:12 ,94
28 21:07:13 , 28 21:07:42 ,204
28 21:07:43 , 28 21:08:12 ,296
28 21:08:13 , 28 21:08:42 ,322
28 21:08:43 , 28 21:09:12 ,298
28 21:09:13 , 28 21:09:42 ,237
28 21:09:43 , 28 21:10:12 ,158
28 21:10:13 , 28 21:10:42 ,157
28 21:10:43 , 28 21:11:12 ,186
28 21:11:13 , 28 21:11:42 ,144
28 21:11:43 , 28 21:12:12 ,157
28 21:12:13 , 28 21:12:42 ,124
28 21:12:43 , 28 21:13:12 ,94
28 21:13:13 , 28 21:13:42 ,99
28 21:13:43 , 28 21:14:12 ,110
28 21:14:13 , 28 21:14:42 ,136
28 21:14:43 , 28 21:15:12 ,114
28 21:15:13 , 28 21:15:42 ,143
28 21:15:43 , 28 21:16:12 ,167
28 21:16:13 , 28 21:16:42 ,142
28 21:16:43 , 28 21:17:12 ,95
28 21:17:13 , 28 21:17:42 ,121
28 21:17:43 , 28 21:18:12 ,112
28 21:18:13 , 28 21:18:42 ,234
28 21:18:43 , 28 21:19:12 ,360
28 21:19:13 , 28 21:19:42 ,357
28 21:19:43 , 28 21:20:12 ,282
28 21:20:13 , 28 21:20:42 ,235
28 21:20:43 , 28 21:21:12 ,189
28 21:21:13 , 28 21:21:42 ,189
28 21:21:43 , 28 21:22:12 ,143
28 21:22:13 , 28 21:22:42 ,172
28 21:22:43 , 28 21:23:12 ,198
28 21:23:13 , 28 21:23:42 ,154
28 21:23:43 , 28 21:24:12 ,153
28 21:24:13 , 28 21:24:42 ,167
28 21:24:43 , 28 21:25:12 ,149
28 21:25:13 , 28 21:25:42 ,136
28 21:25:43 , 28 21:26:12 ,146
28 21:26:13 , 28 21:26:42 ,123
28 21:26:43 , 28 21:27:12 ,155
28 21:27:13 , 28 21:27:42 ,130
28 21:27:43 , 28 21:28:12 ,143
28 21:28:13 , 28 21:28:42 ,110
28 21:28:43 , 28 21:29:12 ,114
28 21:29:13 , 28 21:29:42 ,121
28 21:29:43 , 28 21:30:12 ,107
28 21:30:13 , 28 21:30:42 ,163
28 21:30:43 , 28 21:31:12 ,175
28 21:31:13 , 28 21:31:42 ,109
28 21:31:43 , 28 21:32:12 ,116
28 21:32:13 , 28 21:32:42 ,119
28 21:32:43 , 28 21:33:12 ,111
28 21:33:13 , 28 21:33:42 ,112
28 21:33:43 , 28 21:34:12 ,113
28 21:34:13 , 28 21:34:42 ,133
28 21:34:43 , 28 21:35:12 ,131
28 21:35:13 , 28 21:35:42 ,105
28 21:35:43 , 28 21:36:12 ,98
28 21:36:13 , 28 21:36:42 ,116
28 21:36:43 , 28 21:37:12 ,109
28 21:37:13 , 28 21:37:42 ,119
28 21:37:43 , 28 21:38:12 ,137
28 21:38:13 , 28 21:38:42 ,111
28 21:38:43 , 28 21:39:12 ,110
28 21:39:13 , 28 21:39:42 ,102
28 21:39:43 , 28 21:40:12 ,121
28 21:40:13 , 28 21:40:42 ,165
28 21:40:43 , 28 21:41:12 ,142
28 21:41:13 , 28 21:41:42 ,125
28 21:41:43 , 28 21:42:12 ,112
28 21:42:13 , 28 21:42:42 ,105
28 21:42:43 , 28 21:43:12 ,125
28 21:43:13 , 28 21:43:42 ,90
28 21:43:43 , 28 21:44:12 ,99
28 21:44:13 , 28 21:44:42 ,94
28 21:44:43 , 28 21:45:12 ,94
28 21:45:13 , 28 21:45:42 ,102
28 21:45:43 , 28 21:46:12 ,105
28 21:46:13 , 28 21:46:42 ,93
28 21:46:43 , 28 21:47:12 ,113
28 21:47:13 , 28 21:47:42 ,176
28 21:47:43 , 28 21:48:12 ,220
28 21:48:13 , 28 21:48:42 ,186
28 21:48:43 , 28 21:49:12 ,210
28 21:49:13 , 28 21:49:42 ,197
28 21:49:43 , 28 21:50:12 ,202
28 21:50:13 , 28 21:50:42 ,191
28 21:50:43 , 28 21:51:12 ,191
28 21:51:13 , 28 21:51:42 ,158
28 21:51:43 , 28 21:52:12 ,167
28 21:52:13 , 28 21:52:42 ,141
28 21:52:43 , 28 21:53:12 ,139
28 21:53:13 , 28 21:53:42 ,112
28 21:53:43 , 28 21:54:12 ,99
28 21:54:13 , 28 21:54:42 ,101
28 21:54:43 , 28 21:55:12 ,99
28 21:55:13 , 28 21:55:42 ,99
28 21:55:43 , 28 21:56:12 ,134
28 21:56:13 , 28 21:56:42 ,132
28 21:56:43 , 28 21:57:12 ,146
28 21:57:13 , 28 21:57:42 ,130
28 21:57:43 , 28 21:58:12 ,148
28 21:58:13 , 28 21:58:42 ,100
28 21:58:43 , 28 21:59:12 ,99
28 21:59:13 , 28 21:59:42 ,90
28 21:59:43 , 28 22:00:12 ,126
28 22:00:13 , 28 22:00:42 ,127
28 22:00:43 , 28 22:01:12 ,104
28 22:01:13 , 28 22:01:42 ,129
28 22:01:43 , 28 22:02:12 ,115
28 22:02:13 , 28 22:02:42 ,145
28 22:02:43 , 28 22:03:12 ,148
28 22:03:13 , 28 22:03:42 ,148
28 22:03:43 , 28 22:04:12 ,109
28 22:04:13 , 28 22:04:42 ,78
28 22:04:43 , 28 22:05:12 ,89
28 22:05:13 , 28 22:05:42 ,61
28 22:05:43 , 28 22:06:12 ,118
28 22:06:13 , 28 22:06:42 ,91
28 22:06:43 , 28 22:07:12 ,95
28 22:07:13 , 28 22:07:42 ,105
28 22:07:43 , 28 22:08:12 ,81
28 22:08:13 , 28 22:08:42 ,81
28 22:08:43 , 28 22:09:12 ,73
28 22:09:13 , 28 22:09:42 ,91
